Species,USGS.Number,Band.Colors,Year,Date,Time.Trapped,Time.Bled,Recap,Site,Location,GPS.S,GPS.E,Elevation.(m),Bander,Sex,How.Sex,Age,How.Age,Release,Bird+Bag.(g),bag.(g),Bird.(g),Wing.(mm),Tarsus.(mm),Tail.(mm),Culmen.(mm),Culmen Depth.(mm),Culmen Width.(mm),Bill+Head.(mm),Hemo,Plasma,Blood,Fecal,Feather,Nest,Nest.Stage,Captured.with,,,,,,,,,,,
BCCH,2830-31900,RLO,2019,24-May,7:22,7:34,-,BLD,Stephanie Meyer,,,,KG,F,BP,ASY,REC,Y,34,23,11,63,17.4,60,7.4,4.4,5.1,27,N,N,Y,N,Y,281-2019,Chicks,NA,,,,,,,,,,,
BCCH,2830-31998,OGA,2020,24-May,9:15,9:22,-,BLD,Shopnitz's,-,-,-,KCG,M,CP,-,-,Y,35,24,11,65,17.1,63,7.1,4.9,4.5,26.5,N,N,Y,N,N,300-2020,chicks,WAW,-,,,,,,,,,,
MOCH,2830-31898,WPW,2019,17-May,-,-,-,SGR,Feeder,,,,KG,F,BP,U,-,Y,36,24,12,69,18.3,61,7.6,4.4,5.2,29.3,N,N,Y,Y,Y,-,-,NA,,,,,,,,,,,
MOCH,2830-31899,RRS,2019,17-May,9:20 AM,9:41 AM,-,SGR,Feeder,,,,KG,F,BP,U,-,Y,40,28,12,72,19.4,58,8,3.8,4.4,28.5,N,N,Y,N,Y,-,-,NA,,,,,,,,,,,
MOCH,Pox1,-,2019,10-Jun,-,-,-,-,-,,,,-,-,-,-,-,-,-,,,,,,,,,,N,N,Y,N,N,-,-,NA,,,,,,,,,,,
MOCH,POX2,-,2019,10-Jun,-,-,-,-,-,,,,-,-,-,-,-,-,,,,,,,,,,,N,N,Y,N,N,-,-,NA,,,,,,,,,,,
BCCH,2830-31910,WPS,2019,26-May,7:15,7:30,N,BLD,St. Berrera,,,,KG,F,BP,ASY,REC,Y,35,24,11,64,16.8,63,9.2,4.8,5,27.5,N,N,Y,N,N,313-2019,Chicks,unbanded,,,,,,,,,,,
BCCH,2830-31907,PWB,2019,25-May,7:37,8:00,N,BLD,Farmer Tim,,,,KG,M,CP,U,-,Y,36,24,12,67,17.7,69,8.3,4.5,5.1,26.8,N,N,Y,N,Y,316-2019,Chicks,NA,,,,,,,,,,,
BCCH,2830-31916,LPO,2019,26-May,8:55,9:04,N,-,H Bittman,,,,KCG,M,CP,AHY,REC,Y,34,23,11,66,18.2,63,9,4.6,5.1,27.7,N,N,Y,N,Y,274-2019,Chicks,RSW,,,,,,,,,,,
BCCH,2830-31908,RSO,2019,25-May,7:43,8:15,N,BLD,Farmer Tim,,,,KG,F,BP,ASY,REC,Y,35,23,12,66,17.2,63,8.4,4.5,5.3,27.4,N,N,Y,N,Y,316-2019,Chicks,NA,,,,,,,,,,,
BCCH,2830-31915,RSW,2019,26-May,8:24,8:36,N,BLD,H Bittman,,,,KCG,F,BP,ASY,REC,Y,36,24,12,67,17.1,67,8.6,4.3,5.3,27.4,N,N,Y,N,N,274-2019,Chicks,LPO,,,,,,,,,,,
BCCH,2090-37403,YWB,2019,30-May,7:55,8:00,N,BLD,Taiko,,,,ANT,M,CP,U,-,Y,>30,-,-,69,17.9,65,7.5,3.8,3.2,27.6,N,N,Y,N,N,326-2019,NA,NA,,,,,,,,,,,
BCCH,2090-37412,BBB,2019,31-May,8:26,8:30,N,BLD,Lafayette,,,,KF,M,CP,ASY,REC,Y,,,,64,17.4,60,9.5,4.5,4.9,26.8,,,Y,,Y,251-2019,Chicks,NA,,,,,,,,,,,
BCCH,2830-31923,BWR,2019,28-May,10:12,10:20,N,BLD,Bobbee & Lyle,,,,ANT,M,CP,AHY,REC,Y,37,24,13,69,18.8,70,7.3,4,3.6,28.1,N,N,Y,N,,277-2019,Chicks,NA,,,,,,,,,,,
BCCH,2830-31924,WPR,2019,31-May,7:23,7:34,N,BLD,Connie R,,,,KG,M,CP,ASY,REC,Y,36,24,12,74,17.9,72,7.4,4.4,5.2,28,N,N,Y,N,Y,272-2019,Chicks,NA,,,,,,,,,,,
BCCH,2830-31929,BOS,2019,31-May,8:52,8:58,N,BLD,Connie R,,,,KG,F,BP,ASY,REC,Y,35,24,11,66,17.5,65,7.8,4.1,5,27,N,N,Y,N,Y,272-2019,Chicks,NA,,,,,,,,,,,
BCCH,2830-31939,OGS,2019,1-Jun,10:08,10:14,N,CU,Old Main,,,,KCG,M,CP,AHY,REC,Y,37,24,13,70,16.9,68,7.1,4.8,5.5,28.6,N,N,Y,N,Y,115-2019,Chicks,NA,,,,,,,,,,,
BCCH,2830-31938,PGY,2019,1-Jun,9:40,9:47,N,CU,Varsity Pond,,,,KCG,M,CP,ASY,REC,Y,35,24,11,67,17.9,66,7.4,4.4,6,27.2,N,N,Y,N,Y,125-2019,Chicks,NA,,,,,,,,,,,
BCCH,2090-37431,OOB,2019,4-Jun,10:23,10:27,N,CU,EBIO Main Office,,,,ANT,F,BP,AHY,REC,Y,33.5,22,11.5,65,17.7,67,7.8,4,4.1,28.1,N,N,Y,N,Y,134-2019,Chicks,WRW,,,,,,,,,,,
BCCH,2090-37430,WRW,2019,4-Jun,9:37,9:48,N,CU,EBIO Main Office,,,,ANT,M,CP,AHY,REC,Y,33,22,11,68,18.1,66,7.3,4,4,27.9,N,N,Y,N,Y,134-2019,Chicks,OOB,,,,,,,,,,,
BCCH,2830-31940,WLL,2019,5-Jun,8:05,8:20,N,CU,Hellems,,,,KCG,M,CP,AHY,REC,Y,35,24,11,68,17.4,65,8.9,4.5,5.5,28.1,N,N,Y,N,Y,108-2019,Chicks,NA,,,,,,,,,,,
BCCH,2830-31941,YGO,2019,5-Jun,9:01,9:11,N,CU,Hellems,,,,KCG,F,BP,ASY,REC,Y,35.5,24,11.5,63,18.5,62,8.1,4.8,5.2,28.1,N,N,Y,N,Y,108-2019,Chicks,NA,,,,,,,,,,,
BCCH,2090-37444,SLS,2019,8-Jun,9:27,9:36,N,BLD,Cynthia's Manor,,,,ANT,M,CP,AHY,REC,Y,35.5,25.5,10,63,18.4,60,7.4,4,4,28.3,N,N,Y,N,Y,345-2019,chicks,NA,,,,,,,,,,,
BCCH,2090-37448,WSB,2019,10-Jun,9:20,9:36,N,SGR,Debi's House,,,,ANT,M,CP,AHY,REC,Y,36,24,12,69,20.2,67,7.2,3.7,3.4,27.6,N,N,Y,N,Y,NA,NA,NA,,,,,,,,,,,
BCCH,2090-37445,SBL,2019,10-Jun,8:35,8:50,N,SGR,Debi's House,,,,ANT,F,BP,NA,NA,Y,NA,NA,NA,64,19.8,62,7.3,4,3.3,32.1,N,N,Y,N,Y,NA,NA,NA,,,,,,,,,,,
BCCH,2830-31953,YBW,2019,10-Jun,8:06,8:24,N,CU,Macky,,,,KCG,M,CP,ASY,REC,Y,35,24,11,67,17.2,68,7.4,4.8,5.2,27.8,N,N,Y,N,Y,113-2019,chicks,NA,,,,,,,,,,,
BCCH,2090-37457,OWL,2019,10-Jun,8:26,8:36,N,BLD,Liz Robinson,,,,ANT,M,CP,AHY,REC,Y,34,22,12,68,20.5,70,7.6,4.4,4,31,N,N,Y,N,Y,297-2019,chicks,NA,,,,,,,,,,,
BCCH,2090-37458,PBP,2019,10-Jun,8:59,9:07,N,BLD,Liz Robinson,,,,ANT,F,BP,ASY,REC,Y,39,28,11,64,18.7,65,7.5,4.4,4.3,27.6,N,N,Y,N,Y,297-2019,chicks,NA,,,,,,,,,,,
BCCH,2830-31964,OPY,2019,14-Jun,7:59,8:08,N,BLD,Brett + Kendi's,,,,KCG,F,BP,AHY,REC,Y,34,24,10,61,16.6,59,7.4,4.5,5.2,27,N,N,Y,N,Y,287-2019,chicks,NA,,,,,,,,,,,
BCCH,2090-37470,AAW,2019,27-Jun,7:26,7:40,N,SGR,Tracy,,,,ANT,F,BP,AHY,tail feathers,Y,39,26,13,65,19.3,65,7.7,3.9,3.7,27.5,N,N,Y,N,Y,336-2019,-,NA,,,,,,,,,,,
