SampleID,Species,NestID,Site,Year,Elevation,Latitude,Longitude
2830-31913,BCCH,313-2019,BLD,2019,1641,-105.2660353,40.04739032
326-2019-1,BCCH,326-2019,BLD,2019,1613,-105.2461223,40.03566763
326-2019-2,BCCH,326-2019,BLD,2019,1613,-105.2461223,40.03566763
326-2019-3,BCCH,326-2019,BLD,2019,1613,-105.2461223,40.03566763
2830-31927,BCCH,272-2019,BLD,2019,1650,-105.2675215,40.04970239
2830-31925,BCCH,272-2019,BLD,2019,1650,-105.2675215,40.04970239
272-2019-1,BCCH,272-2019,BLD,2019,1650,-105.2675215,40.04970239
125-2019-1,BCCH,125-2019,CU,2019,1652,-105.2738681,40.00971135
2830-31934,BCCH,125-2019,CU,2019,1652,-105.2738681,40.00971135
125-2019-2,BCCH,125-2019,CU,2019,1652,-105.2738681,40.00971135
125-2019-3,BCCH,125-2019,CU,2019,1652,-105.2738681,40.00971135
2090-37434,BCCH,345-2019,CU,2019,1709,-105.2893564,40.00387142
161-2019-1,MOCH,161-2019,BLD,2019,1724,-105.2705419,40.04862322
161-2019-2,MOCH,161-2019,BLD,2019,1724,-105.2705419,40.04862322
2090-37441,MOCH,334-2019,BLD,2019,1675,-105.2898151,40.03753971
287-2019-1,BCCH,287-2019,BLD,2019,1686,-105.2583353,39.97960024
2830-31970,MOCH,203-2019,SGR,2019,2488,-105.4639177,40.00337622
2090-37460,BCCH,336-2019,SGR,2019,1951,-105.3550189,40.01659987
336-2019-1,BCCH,336-2019,SGR,2019,1951,-105.3550189,40.01659987
2090-37483,BCCH,207-2019,SGR,2019,2519,-105.4758564,40.00176012
2090-37472,MOCH,158-2019,SGR,2019,2550,-105.4722286,40.00573924
249-2019-1,MOCH,249-2019,SGR,2019,1957,-105.3522379,40.01586054
218-2019-1,MOCH,218-2019,SGR,2019,2518,-105.4754016,40.00205931
24-2019-1,MOCH,24-2019,MRS,2019,3254,-105.5692937,40.04212568
2130-17416,MOCH,236-2020,SGR,2020,2089,40.039183,-105.373563
2900-40621,MOCH,244-2020,SGR,2020,1946,-105.35254,40.01535508
2900-40691,MOCH,99-2020,MRS,2020,2850,-105.532603,40.030065
2900-40689,MOCH,99-2020,MRS,2020,2850,-105.532603,40.030065
2900-40651,BCCH,330-2020,BLD,2020,1679,-105.2720557,40.00180504
2900-40663,MOCH,198-2020,SGR,2020,2502,-105.4636689,40.00297177
2900-40694,MOCH,197-2020,MRS,2020,2909,-105.5365923,40.03212784
2900-40658,MOCH,144-2020,SGR,2020,2549,-105.4720427,40.00595624
2900-40647,MOCH,234-2020,SGR,2020,2520,-105.4698587,40.00183865
2830-32087,BCCH,388-2020,BLD,2020,1637,40.02566,-105.2751
2830-32088,BCCH,388-2020,BLD,2020,1637,40.02566,-105.2751
2830-32096,BCCH,113-2020,CU,2020,1637,-105.2723356,40.01030961
2900-40617,MOCH,244-2020,SGR,2020,1946,-105.35254,40.01535508
2090-37496,BCCH,409-2020,BLD,2020,1647,39.9968491,-105.1414462
2900-40683,MOCH,186-2020,SGR,2020,2486,-105.4628171,40.00347973
2130-17411,MOCH,367-2020,SGR,2020,1824,-105.3064722,40.02722576
2130-17414,MOCH,236-2020,SGR,2020,2089,40.039183,-105.373563
2830-32074,BCCH,108-2020,CU,2020,1653,-105.2722078,40.00765203
2830-32073,BCCH,108-2020,CU,2020,1653,-105.2722078,40.00765203
2830-32072,BCCH,108-2020,CU,2020,1653,-105.2722078,40.00765203
2830-32071,BCCH,108-2020,CU,2020,1653,-105.2722078,40.00765203
2830-32068,BCCH,119-2020,CU,2020,1671,-105.2747887,40.00845682
2830-32067,BCCH,119-2020,CU,2020,1671,-105.2747887,40.00845682
2830-32066,BCCH,119-2020,CU,2020,1671,-105.2747887,40.00845682
2830-32065,BCCH,119-2020,CU,2020,1671,-105.2747887,40.00845682
2830-32064,BCCH,398-2020,BLD,2020,1698,-105.2850972,40.00401226
2830-32039,BCCH,266-2020,BLD,2020,1650,-105.2813878,40.00342254
2830-32040,BCCH,266-2020,BLD,2020,1650,-105.2813878,40.00342254
2830-32041,BCCH,266-2020,BLD,2020,1650,-105.2813878,40.00342254
2830-32042,BCCH,266-2020,BLD,2020,1650,-105.2813878,40.00342254
2830-32043,BCCH,266-2020,BLD,2020,1650,-105.2813878,40.00342254
2830-32053,BCCH,257-2020,BLD,2020,1652,40.05068,-105.26859
2830-32059,BCCH,289-2020,BLD,2020,1630,-105.265261,40.050958
2830-32060,BCCH,289-2020,BLD,2020,1630,-105.265261,40.050958
2830-32062,BCCH,398-2020,BLD,2020,1698,-105.2850972,40.00401226
2830-32033,BCCH,326-2020,BLD,2020,1613,-105.2461223,40.03566763
2830-32030,BCCH,326-2020,BLD,2020,1613,-105.2461223,40.03566763
256-2020-1,BCCH,256-2020,BLD,2020,1652,-105.2687197,40.05032129
