ESV,2090-37472,49-2019-1,218-2019-1,24-2019-1,287-2019-1,2830-31970,2090-37460,336-2019-1,2090-37483,125-2019-3,2090-37434,161-2019-1,2830-31925,272-2019-1,125-2019-1,2830-31934,125-2019-2,2830-31913,2830-31927,326-2019-1,326-2019-2,326-2019-3
ESV_001506,0,0,0,0,0,0,0,0,0,0,0,10878,0,0,0,0,0,0,0,0,0,0
ESV_001508,0,0,0,0,0,0,0,0,205,0,0,0,9505,0,0,0,0,0,0,0,0,0
ESV_001509,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,0,0,0,0,3780,723,3097,0
ESV_001510,0,0,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001512,0,0,0,0,0,0,0,0,0,0,0,0,0,7964,0,0,0,0,0,0,0,0
ESV_001516,0,0,0,0,0,0,0,0,0,4270,0,0,0,0,2611,1045,379,0,0,0,0,0
ESV_001520,6588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488,292,4748
ESV_001526,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,119,0,3691,0,0,0,0
ESV_001529,0,0,0,0,0,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001533,0,0,0,0,0,0,0,4065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001545,0,0,0,0,708,0,0,0,0,0,1593,0,0,0,0,0,0,0,0,0,0,0
ESV_001550,0,0,0,0,0,0,0,0,2172,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,1263,0
ESV_001557,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,2363,0
ESV_001575,0,0,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,1036,27
ESV_001578,0,0,0,0,0,0,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001579,0,0,0,0,0,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001581,0,0,0,0,0,0,0,0,0,856,0,0,0,0,0,407,0,0,0,0,0,0
ESV_001583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,0,732,0
ESV_001584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227,0,0
ESV_001585,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,813,0,0,0,0,0,0
ESV_001589,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001597,0,0,0,0,1679,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,8,0
ESV_001600,0,0,0,0,0,0,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001602,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001604,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,133
ESV_001610,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001612,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001613,0,0,0,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001615,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635
ESV_001636,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001637,0,0,0,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001645,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,422
ESV_001655,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001658,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0
ESV_001668,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001670,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0
ESV_001672,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0
ESV_001673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0
