"Species","ESV","Mean_Abundance"
"BCCH","ESV_004328",2734.44444444444
"BCCH","ESV_001597",9001.33333333333
"BCCH","ESV_009730",4607.77777777778
"BCCH","ESV_004352",4478.66666666667
"BCCH","ESV_001552",1952.55555555556
"BCCH","ESV_004329",1707.88888888889
"BCCH","ESV_001630",1521.88888888889
"BCCH","ESV_088989",948.666666666667
"BCCH","ESV_097268",672.222222222222
"BCCH","ESV_001677",483.222222222222
"BCCH","ESV_004354",436.777777777778
"BCCH","ESV_004471",393.333333333333
"BCCH","ESV_091687",344
"BCCH","ESV_097261",284.444444444444
"BCCH","ESV_001529",243.555555555556
"BCCH","ESV_079792",230.333333333333
"BCCH","ESV_001912",203.555555555556
"BCCH","ESV_097767",166.222222222222
"BCCH","ESV_097408",164.444444444444
"BCCH","ESV_041618",153.222222222222
"BCCH","ESV_001702",144.444444444444
"BCCH","ESV_004859",138.111111111111
"BCCH","ESV_097405",131.222222222222
"BCCH","ESV_004754",120.333333333333
"BCCH","ESV_004333",119.555555555556
"BCCH","ESV_097255",101.555555555556
"BCCH","ESV_004637",77.5555555555556
"BCCH","ESV_001577",69.6666666666667
"BCCH","ESV_041862",68.8888888888889
"BCCH","ESV_097490",67.7777777777778
"BCCH","ESV_097258",61.8888888888889
"BCCH","ESV_004439",56.3333333333333
"BCCH","ESV_097262",55.8888888888889
"BCCH","ESV_004512",10.5555555555556
"BCCH","ESV_097168",45.7777777777778
"BCCH","ESV_097890",34.5555555555556
"BCCH","ESV_010744",33.7777777777778
"BCCH","ESV_097263",28.4444444444444
"BCCH","ESV_097275",26.7777777777778
"BCCH","ESV_097678",25.1111111111111
"BCCH","ESV_040528",21.2222222222222
"BCCH","ESV_097407",20.6666666666667
"BCCH","ESV_097770",20.4444444444444
"BCCH","ESV_097768",20.2222222222222
"BCCH","ESV_010145",20.1111111111111
"BCCH","ESV_097267",19.7777777777778
"BCCH","ESV_004745",19.6666666666667
"BCCH","ESV_000935",17
"BCCH","ESV_097277",16
"BCCH","ESV_097766",15.6666666666667
"BCCH","ESV_097897",14.8888888888889
"BCCH","ESV_097279",13.6666666666667
"BCCH","ESV_097278",12.1111111111111
"BCCH","ESV_097899",11.8888888888889
"BCCH","ESV_004381",11.8888888888889
"BCCH","ESV_097764",11.7777777777778
"BCCH","ESV_097888",11.3333333333333
"BCCH","ESV_097276",11.2222222222222
"BCCH","ESV_097893",10.5555555555556
"BCCH","ESV_009922",10.3333333333333
"BCCH","ESV_097489",9.77777777777778
"BCCH","ESV_097491",9.55555555555556
"BCCH","ESV_097492",9.33333333333333
"BCCH","ESV_097495",8.88888888888889
"BCCH","ESV_009942",8.22222222222222
"BCCH","ESV_097896",8
"BCCH","ESV_097900",7.33333333333333
"BCCH","ESV_097765",7.11111111111111
"BCCH","ESV_001526",6.11111111111111
"BCCH","ESV_097894",6
"BCCH","ESV_017342",5.77777777777778
"BCCH","ESV_012931",5.55555555555556
"BCCH","ESV_097409",5.22222222222222
"BCCH","ESV_097675",4.77777777777778
"BCCH","ESV_097494",4.66666666666667
"BCCH","ESV_097913",4.33333333333333
"BCCH","ESV_097271",4.33333333333333
"BCCH","ESV_097269",4.11111111111111
"BCCH","ESV_097902",4
"BCCH","ESV_097403",4
"BCCH","ESV_097901",3.77777777777778
"BCCH","ESV_002009",3.55555555555556
"BCCH","ESV_097898",3.22222222222222
"BCCH","ESV_097256",3.22222222222222
"BCCH","ESV_097769",3.11111111111111
"BCCH","ESV_097683",3
"BCCH","ESV_097914",2.55555555555556
"BCCH","ESV_097684",2.55555555555556
"BCCH","ESV_097912",2.44444444444444
"BCCH","ESV_097677",2.33333333333333
"BCCH","ESV_097257",2.11111111111111
"BCCH","ESV_097892",2
"BCCH","ESV_097680",2
"BCCH","ESV_091741",1
"BCCH","ESV_097404",2
"BCCH","ESV_097493",1.77777777777778
"BCCH","ESV_097260",1.55555555555556
"BCCH","ESV_089170",1.55555555555556
"BCCH","ESV_097679",1.44444444444444
"BCCH","ESV_097259",1.44444444444444
"BCCH","ESV_097264",1.44444444444444
"BCCH","ESV_001814",1.44444444444444
"BCCH","ESV_097270",1.33333333333333
"BCCH","ESV_097891",1.22222222222222
"BCCH","ESV_097265",1.22222222222222
"BCCH","ESV_097273",1.22222222222222
"BCCH","ESV_097274",1.22222222222222
"BCCH","ESV_097895",1.11111111111111
"BCCH","ESV_097682",1.11111111111111
"BCCH","ESV_097272",1.11111111111111
"BCCH","ESV_097406",1
"BCCH","ESV_097266",1
"BCCH","ESV_097169",0.888888888888889
"BCCH","ESV_062720",0.777777777777778
