TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
ArthCOI,ESV_098003,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,93.6
ArthCOI,ESV_098003,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,93.6
ArthCOI,ESV_098003,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,93.6
ArthCOI,ESV_098003,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,93.6
ArthCOI,ESV_098003,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,93.6
ArthCOI,ESV_098003,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,93.6
ArthCOI,ESV_098003,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,93.6
ArthCOI,ESV_098002,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,88.6
ArthCOI,ESV_098002,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,88.6
ArthCOI,ESV_098002,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,88.6
ArthCOI,ESV_098002,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,88.6
ArthCOI,ESV_098002,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,88.6
