"Query","GB_ID","taxid","superkingdom","phylum","class","order","family","genus","species","id"
"ESV_002696","HQ106431",881785,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",99.4
"ESV_002696","HQ920409",881785,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",99.4
"ESV_002696","HQ920398",881785,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",99.4
"ESV_002696","KR043798",881785,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",99.4
"ESV_002696","KR031894",1657219,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",99.4
"ESV_002636","JF878435",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878355",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878633",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","KR663952",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF879304",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878429",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878645",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","KR670979",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF877303",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","KR664629",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878353",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878430",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","KR651637",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878644",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","KR681837",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF879240",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JN298385",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF879211",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878774",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878808",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878800",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878791",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JN298396",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878700",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
