Query,GB_ID,superkingdom,phylum,class,order,family,genus,species,id
ESV_001503,KY845763,Eukaryota,Arthropoda,Insecta,Coleoptera,Staphylinidae,,Staphylinidae sp. BIOUG02448-F05,92.4
ESV_001504,AP017464,Eukaryota,Nematoda,Chromadorea,Rhabditida,Panagrolaimidae,Panagrellus,Panagrellus redivivus,87.3
ESV_001505,FN397789,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. 3052ed,89.2
ESV_001506,HQ708195,Eukaryota,NA,Oomycetes,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces laevis,81.6
ESV_001506,HQ708196,Eukaryota,NA,Oomycetes,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces sp. BOLD:AAO9952,81.6
ESV_001507,KJ586359,Eukaryota,Arthropoda,Insecta,Diptera,Sarcophagidae,Ravinia,Ravinia derelicta,100
ESV_001507,KJ586364,Eukaryota,Arthropoda,Insecta,Diptera,Sarcophagidae,Ravinia,Ravinia derelicta,100
ESV_001507,KJ586363,Eukaryota,Arthropoda,Insecta,Diptera,Sarcophagidae,Ravinia,Ravinia derelicta,100
ESV_001507,KJ586356,Eukaryota,Arthropoda,Insecta,Diptera,Sarcophagidae,Ravinia,Ravinia derelicta,100
ESV_001508,MG312272,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Tarsonemidae,,Tarsonemidae sp. BIOUG24517-D08,87.9
ESV_001508,JX834369,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Tarsonemidae,,Tarsonemidae sp. BOLD:AAZ5832,87.9
ESV_001508,JX837566,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Tarsonemidae,,Tarsonemidae sp. BOLD:AAZ5832,87.9
ESV_001508,MG313222,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Tarsonemidae,,Tarsonemidae sp. BIOUG24517-E02,87.9
ESV_001508,MG313308,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Tarsonemidae,,Tarsonemidae sp. BIOUG24517-D06,87.9
ESV_001510,KM571519,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,,Tipulinae sp. BOLD:AAF8969,98.7
ESV_001510,KM645237,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,,Tipulinae sp. BOLD:AAF8969,98.1
ESV_001510,KM940091,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,,Tipulinae sp. BOLD:AAF8969,98.1
ESV_001510,KM947695,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,,Tipulinae sp. BOLD:AAF8969,98.1
ESV_001510,KM571193,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Lunatipula sp. BOLD:AAF8969,98.1
ESV_001510,KM569974,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Lunatipula sp. BOLD:AAF8969,98.1
